,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Field1,Bit Errors Field2,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
1,2020/081 21:44:18.939,3163,12,57304,0001,A79C0 00000 00001,2020/081 21:44:18.939,0,406027026.344,0.000,9.537,33.025,37.808,1.294,0.287,0,6093,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50E1 026D79
2,2020/081 19:34:36.048,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:34:36.048,0,406024053.125,0.000,7.629,32.204,32.814,1.312,0.370,0,78,9,9,0,399.991,FFFE2F 53CE00 000000 000D14 8E50A9 FC100D
3,2020/081 19:33:44.884,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:33:44.884,0,406025314.188,0.000,8.583,35.004,37.736,1.316,0.352,0,-234,9,9,0,399.960,FFFE2F 53CE00 000000 000D14 8F6F91 F220A5
4,2020/081 19:32:55.772,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:32:55.772,0,406026686.875,0.000,10.490,47.588,49.194,1.249,0.476,0,78,9,9,0,400.037,FFFE2F 53CE00 000000 000D14 8E50E1 79B3B7
5,2020/081 19:32:05.922,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:32:05.922,0,406028165.297,0.000,11.444,45.702,47.470,1.240,0.660,0,78,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50F9 A2927D
6,2020/081 19:31:17.418,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:31:17.418,0,406029586.328,0.000,10.490,47.468,48.950,1.244,0.566,0,78,9,9,0,400.037,FFFE2F 53CE00 000000 000D14 8E50EC AA8E4A
7,2020/081 19:30:28.989,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:30:28.989,0,406030894.766,0.000,8.583,45.484,46.985,1.244,0.438,0,78,9,9,0,400.006,FFFE2F 53CE00 000000 000D14 8E50F1 F02A24
8,2020/081 19:29:36.838,3163,11,69642,0001,A79C0 00000 00001,2020/081 19:29:36.838,0,406032108.125,0.000,6.676,45.979,47.039,1.262,0.202,0,78,9,9,0,400.083,FFFE2F 53CE00 000000 000D14 8E50DD DD5BEC
9,2020/081 19:04:42.534,3163,13,38957,0001,A79C0 00000 00001,2020/081 19:04:42.534,0,406034910.281,0.000,5.722,45.189,46.592,1.244,0.509,0,78,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E50F7 E6C7BC
10,2020/081 17:49:49.525,3163,11,69641,0005,A79C0 00000 00001,2020/081 17:49:49.525,0,406035841.750,0.000,6.676,46.661,48.155,1.247,0.675,2,78,9,9,0,400.022,FFFED0 53CE00 000000 000D14 8E501B 9B9341
11,2020/081 17:49:41.292,3163,11,69641,0001,A79C0 00000 00001,2020/081 17:49:41.292,0,406035908.219,0.000,4.768,46.721,47.828,1.233,0.860,0,78,9,9,0,400.037,FFFE2F 53CE00 000000 000D14 8E50FE 911DCD
12,2020/081 17:48:51.458,3163,11,69641,0001,A79C0 00000 00001,2020/081 17:48:51.458,0,406036316.156,0.000,2.861,45.624,47.185,1.240,0.935,0,5000,9,9,0,400.022,FFFE2F 53CE00 000000 000D14 8E5075 38BE31
